Price,Close,High,Low,Open,Volume,Standard Deviation
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,
Date,,,,,,
2022-08-30,257.00885009765625,260.99634925149246,254.75121685619646,260.6249883577702,22767100,8.617191928975211
2022-08-31,255.54290771484375,261.0550427113508,255.40606696746414,259.37406090613825,24791800,9.676762961704178
2022-09-01,254.49713134765625,254.97604409188028,249.62025642497062,253.00181525924165,23263400,10.61063548030002
2022-09-02,250.25547790527344,258.7387073671297,248.70152454590342,255.76764136186523,22855400,11.748168728572846
2022-09-06,247.50921630859375,251.98538170723285,246.22891435758206,250.39235632621703,21328200,12.936108989355326
2022-09-07,252.23948669433594,252.9627024699416,247.4798869965814,248.92633346068814,24126700,13.50669324035142
2022-09-08,252.6597442626953,254.5264511221941,249.01430171793672,251.67265966820906,20319900,13.659674328984364
2022-09-09,258.4650573730469,259.2176216502665,254.38960207945766,254.59483332515947,22084700,13.511410107197076
2022-09-12,260.60540771484375,261.3872907179251,259.1491934961734,259.75513418244464,18747700,12.89931044286011
2022-09-13,246.27774047851562,254.49708607266632,245.8867989777261,252.97245150182064,33353300,12.640220632707205
2022-09-14,246.5025634765625,248.4669945133989,244.19606043381268,247.782865414468,23913000,12.094902179663388
2022-09-15,239.8175811767578,245.7011054054696,238.4884098902498,244.10806538102588,31530900,11.764826604772445
2022-09-16,239.19212341308594,239.739426682432,236.57286716463537,238.72299354259306,39791800,11.147969329344242
2022-09-19,238.9771270751953,239.58306789523974,235.39032189172855,236.97359431204936,26826900,10.539879497495322
2022-09-20,236.9540252685547,237.98999429905646,234.20772606919547,236.58264942980037,26660300,10.566959223542032
2022-09-21,233.53335571289062,242.04591952184435,233.4844861559874,238.73276637917772,28625600,10.699231944750537
2022-09-22,235.517333984375,238.33205339630862,232.18464499812544,232.47783250945622,31061200,10.408853094964144
2022-09-23,232.52670288085938,235.66394347915048,229.86836007424546,234.10997509917544,34176000,9.661518389511638
2022-09-26,232.06736755371094,235.9766936524482,231.52983223255546,231.67644090899546,27694200,9.69033542593113
2022-09-27,231.0509490966797,236.3187654128993,229.18424230732046,234.540014881578,27018700,9.786221260647894
